stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.029078599996864796,,0.012304299976676702,0.029078599996864796,0.5285045998170972,0.5285045998170972,0.5454212999902666,0.830137699842453,2.3071963998954743,right,10.0,1,1,1.7530419998802245,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
1,2,8.0,2.3283787998370826,,2.3075012997724116,2.3283787998370826,2.812975299777463,2.812975299777463,2.8294354998506606,3.1130211998242885,3.7301740997936577,left,-8.0,1,1,0.9060164000838995,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
2,2,6.0,3.745947999879718,,3.7304474997799844,3.745947999879718,4.229263699846342,4.229263699846342,4.246080299839377,,4.4640805998351425,right,6.0,1,1,0.21892030001617968,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
3,2,4.0,4.479095699964091,,4.46437029982917,4.479095699964091,4.979373499983922,4.979373499983922,4.979373499983922,,5.1966777998022735,left,-4.0,1,1,0.2144098998978734,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
4,2,2.0,5.2126197998877615,,5.196947199990973,5.2126197998877615,5.696119499858469,5.696119499858469,5.7126826997846365,,5.746728699887171,right,2.0,1,1,0.044042899971827865,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
5,2,1.0,5.76333379978314,,5.747003099881113,5.76333379978314,6.261610799934715,6.261610799934715,6.278122699819505,6.563386699883267,6.679289299994707,left,-1.0,1,1,0.40356240002438426,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
6,1,1.0,6.695955799892545,,6.67955689993687,6.695955799892545,7.179194799857214,7.179194799857214,7.195657699834555,7.47818769980222,9.26136579993181,left,-1.0,0,0,2.070550699951127,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
7,1,2.0,9.278370999963954,,9.261722299968824,9.278370999963954,9.760969499824569,9.760969499824569,9.777522899908945,10.061063400004059,10.461663599824533,left,-2.0,1,1,0.6926998998969793,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
8,1,2.0,10.477299599908292,,10.461881999857724,10.477299599908292,10.977698999922723,10.977698999922723,10.977698999922723,11.27683089999482,11.580390299903229,right,2.0,1,1,0.6001383999828249,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
9,1,2.0,11.5952062997967,,11.580668699927628,11.5952062997967,12.093980699777603,12.093980699777603,12.110234499908984,,12.344946299912408,left,-2.0,1,1,0.24927940010093153,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
10,1,1.0,12.361209800001234,,12.345189299900085,12.361209800001234,12.860564999980852,12.860564999980852,12.860564999980852,13.160694299964234,13.360609499970451,left,-1.0,1,1,0.4855404000263661,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
11,1,1.0,13.377070699818432,,13.360854899976403,13.377070699818432,13.859762899810448,13.859762899810448,13.877144999802113,14.159792799968272,14.3438712998759,right,1.0,1,1,0.47394139994867146,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
12,1,1.0,14.359960199799389,,14.344068799866363,14.359960199799389,14.843799999915063,14.843799999915063,14.8600248999428,15.143461499828845,15.244135399814695,left,-1.0,1,1,0.39652579999528825,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
13,0,1.0,15.259769099997357,,15.24447359982878,15.259769099997357,15.74312789994292,15.74312789994292,15.759317099815235,16.043122899951413,16.110321699874476,right,1.0,0,0,0.3591983001679182,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
14,0,1.0,16.126134399790317,,16.11053519998677,16.126134399790317,16.610071499831975,16.610071499831975,16.62623759987764,16.909969799919054,17.31032029981725,left,-1.0,1,1,0.6908201000187546,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
15,0,1.0,17.32581529999152,,17.310505899833515,17.32581529999152,17.826058299979195,17.826058299979195,17.826058299979195,18.1260661999695,18.31008779979311,right,1.0,1,1,0.4826211000327021,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
16,0.5,1.0,18.326235899934545,,18.3103480997961,18.326235899934545,18.809811799786985,18.809811799786985,18.826602099929005,19.109357699984685,19.12654809979722,left,-1.0,1,1,0.31497989990748465,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
17,0.5,1.0,19.14245399995707,,19.126795899821445,19.14245399995707,19.626058099791408,19.626058099791408,19.642912699840963,19.926670899847522,20.159943299833685,left,-1.0,1,1,0.5215145999100059,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
18,0.5,1.0,20.17595519986935,,20.160132099874318,20.17595519986935,20.65975289978087,20.65975289978087,20.675829999847338,20.95940289995633,21.293432499980554,right,1.0,1,1,0.6216509998776019,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
19,0.5,1.0,21.309170399792492,,21.29379599983804,21.309170399792492,21.80864049983211,21.80864049983211,21.80864049983211,22.108990099979565,22.092209599912167,left,-1.0,1,1,0.2684683999978006,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
20,0.5,1.0,22.108990099979565,,22.09242010000162,22.108990099979565,22.592053199885413,22.592053199885413,22.60872169979848,22.891612299950793,23.025550599908456,right,1.0,1,1,0.4328827001154423,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
21,0.5,1.0,23.041774399811402,,23.025740999961272,23.041774399811402,23.525067299837247,23.525067299837247,23.541815199889243,23.82489769998938,23.842257799813524,right,1.0,1,1,0.30543409986421466,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
22,0.5,1.0,23.858383699785918,,23.84248699992895,23.858383699785918,24.341447199927643,24.341447199927643,24.357977699954063,24.642281599808484,24.659237699816003,right,1.0,0,0,0.3153261998668313,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
23,0.5,1.5,24.674558599945158,,24.65948299993761,24.674558599945158,25.15905179991387,25.15905179991387,25.1757327998057,25.458570199785754,26.42535029980354,left,-1.5,0,0,1.2510166000574827,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
24,0.5,2.0,26.440695599885657,,26.425544299883768,26.440695599885657,26.924861599924043,26.924861599924043,26.940825799945742,27.224627999821678,27.674773199949414,right,2.0,1,1,0.7345299001317471,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
25,0.5,2.0,27.690782299963757,,27.674950399901718,27.690782299963757,28.17449969984591,28.17449969984591,28.191176899941638,28.47451529977843,28.659055799944326,right,2.0,1,1,0.46785979997366667,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
26,0.5,2.0,28.67454109992832,,28.659306299872696,28.67454109992832,29.173969499999657,29.173969499999657,29.173969499999657,29.47430059988983,29.574861499946564,right,2.0,1,1,0.39542709989473224,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
27,0.5,1.5,29.591090000001714,,29.5751596998889,29.591090000001714,30.074092799797654,30.074092799797654,30.090603299904615,30.374168999958783,30.458154199877754,left,-1.5,0,0,0.3717049998231232,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
28,0.5,2.0,30.474250299856067,,30.458340699784458,30.474250299856067,30.957486599916592,30.957486599916592,30.974049099953845,31.256863599875942,31.757444999879226,right,2.0,1,1,0.798363400157541,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
29,0.5,2.0,31.77349179983139,,31.757579299854115,31.77349179983139,32.257093199994415,32.257093199994415,32.27388929994777,32.55731129995547,32.790394799783826,right,2.0,1,1,0.531742500141263,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
30,0.5,2.0,32.807711199857295,,32.7905891998671,32.807711199857295,33.29036649991758,33.29036649991758,33.30751089984551,33.590333199827,33.77433089981787,right,2.0,1,1,0.47100079990923405,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
31,0.5,1.5,33.790310399839655,,33.774594199843705,33.790310399839655,34.29016370000318,34.29016370000318,34.29016370000318,34.59014569991268,34.85691489977762,left,-1.5,1,1,0.5591607000678778,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
32,0.5,1.5,34.87403809977695,,34.857088499935344,34.87403809977695,35.357114899903536,35.357114899903536,35.37328449985944,35.656793399946764,36.04073919984512,right,1.5,1,1,0.6761503999587148,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
33,0.5,1.5,36.05728229996748,,36.040993499802426,36.05728229996748,36.53961959993467,36.53961959993467,36.556669199839234,36.839830099837855,36.94020499987528,left,-1.5,1,1,0.3958338999655098,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
34,0.5,1.0,36.95652579981834,,36.94040579977445,36.95652579981834,37.43955469992943,37.43955469992943,37.45720679988153,,37.673862299881876,right,1.0,1,1,0.22653539991006255,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
35,0.5,1.0,37.68994089984335,,37.67403419991024,37.68994089984335,38.17295729997568,38.17295729997568,38.19003019994125,38.47298899991438,39.13932349998504,right,1.0,0,0,0.9638656000606716,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
36,0.5,1.5,39.15559159987606,,39.13948229979724,39.15559159987606,39.64071569987573,39.64071569987573,39.65726409992203,39.94041119981557,40.20876069995575,left,-1.5,1,1,0.5608654001262039,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
37,0.5,1.5,40.22394869988784,,40.209036599844694,40.22394869988784,40.72391179995611,40.72391179995611,40.72391179995611,41.02382049988955,41.57468229997903,left,-1.5,1,1,0.8367230999283493,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
38,0.5,1.5,41.59053499996662,,41.57495309994556,41.59053499996662,42.09022279991768,42.09022279991768,42.09022279991768,42.390101899858564,42.490997299784794,right,1.5,0,0,0.39114670013077557,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
39,0.5,2.0,42.506972699891776,,42.49126909999177,42.506972699891776,42.990134599851444,42.990134599851444,43.00688789994456,43.29033309989609,43.59060589992441,right,2.0,1,1,0.593388999812305,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
40,0.5,2.0,43.606293299933895,,43.59087649988942,43.606293299933895,44.08980629988946,44.08980629988946,44.107047099852934,44.38976979977451,44.70710829994641,left,-2.0,1,1,0.6002001001033932,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
41,0.5,2.0,44.72298639989458,,44.70738559984602,44.72298639989458,45.206219899933785,45.206219899933785,45.22353839990683,45.50676829996519,45.69042859994806,left,-2.0,1,1,0.47087349998764694,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
42,0.5,1.5,45.70632369979285,,45.69071389990859,45.70632369979285,46.20542549993843,46.20542549993843,46.20542549993843,46.50646509998478,46.70561629999429,right,1.5,1,1,0.49377620010636747,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
43,0.5,1.5,46.72196289990097,,46.70581099996343,46.72196289990097,47.2217402998358,47.2217402998358,47.2217402998358,47.52095569996163,48.088387799914926,left,-1.5,1,1,0.8528780001215637,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
44,0.5,1.5,48.104809699812904,,48.0886100998614,48.104809699812904,48.588049199897796,48.588049199897796,48.605023299809545,48.8880410999991,49.0385146997869,left,-1.5,1,1,0.43890760000795126,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
45,0.5,1.0,49.05497309984639,,49.038731299806386,49.05497309984639,49.53769619995728,49.53769619995728,49.554424699861556,49.838843499775976,51.45390609977767,left,-1.0,1,1,1.9126257998868823,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
46,0.5,1.0,51.47064989991486,,51.454064099816605,51.47064989991486,51.95407839980908,51.95407839980908,51.97093049995601,52.25431489991024,52.72220589988865,left,-1.0,1,1,0.7553439999464899,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
47,0.5,1.0,52.73804359999485,,52.72247219993733,52.73804359999485,53.22159819980152,53.22159819980152,53.23909939988516,53.52138019981794,53.83849469991401,left,-1.0,1,1,0.6124370999168605,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
48,0.5,1.0,53.854777299799025,,53.83877029991709,53.854777299799025,54.337936399970204,54.337936399970204,54.35460179997608,54.63818149990402,54.9380353000015,right,1.0,1,1,0.5945326001383364,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
49,0.5,1.0,54.95326679991558,,54.93825439992361,54.95326679991558,55.43683279980905,55.43683279980905,55.453999399906024,55.73692089994438,55.97060799994506,left,-1.0,1,1,0.5279890999663621,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
50,0.5,1.0,55.9867479999084,,55.97078959993087,55.9867479999084,56.486195099772885,56.486195099772885,56.486195099772885,56.78638889989816,56.93662679987028,left,-1.0,1,1,0.44129349989816546,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
51,0.5,1.0,56.95295769977383,,56.93676759977825,56.95295769977383,57.43631139979698,57.43631139979698,57.45371189992875,57.73688619979657,58.387937399791554,left,-1.0,0,0,0.9378202999942005,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
52,0.5,1.5,58.404128699796274,,58.38821669993922,58.404128699796274,58.887578799854964,58.887578799854964,58.90414599981159,59.20302509982139,60.03828259999864,right,1.5,1,1,1.1389338998124003,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
53,0.5,1.5,60.05399599997327,,60.038554299855605,60.05399599997327,60.55375939980149,60.55375939980149,60.55375939980149,60.85242319991812,61.35305769997649,right,1.5,1,1,0.792003900045529,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
54,0.5,1.5,61.369222399778664,,61.35329519980587,61.369222399778664,61.852787599898875,61.852787599898875,61.8693666998297,62.15382149978541,62.769234999781474,right,1.5,1,1,0.9139197999611497,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
55,0.5,1.0,62.78527029999532,,62.769428899977356,62.78527029999532,63.269440199946985,63.269440199946985,63.28640699991956,63.56870309985243,63.76956159994006,left,-1.0,1,1,0.4846479999832809,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
56,0.5,1.0,63.786261699860916,,63.76976519986056,63.786261699860916,64.28550459980033,64.28550459980033,64.28550459980033,64.58513339981437,64.90262679988518,left,-1.0,1,1,0.6021414999850094,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
57,0.5,1.0,64.91824129992165,,64.90277549996972,64.91824129992165,65.4021201999858,65.4021201999858,65.41865409980528,65.70187949994579,67.55208829999901,left,-1.0,1,1,2.1418745999690145,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
