reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
45,71,73,0,0,0,t,1.3168061000760645,None,0,0,0,19,0.13449120009317994,,0.13230640022084117,0.13449120009317994,1.0132536001037806,1.0132536001037806,1.1469071002211422,2.3402839000336826,t,1.3168061000760645,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
132,203,236,1,1,0,l,0.45071829995140433,None,0,1,1,64,2.351438700221479,,2.349404400214553,2.351438700221479,3.3463632001075894,3.3463632001075894,3.3630924001336098,3.8139347000978887,l,0.45071829995140433,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
163,228,296,2,2,0,t,0.30922270007431507,None,0,2,2,80,3.8297636001370847,,3.823306000092998,3.8297636001370847,4.8128479002043605,4.8128479002043605,4.82956080022268,5.130251000169665,t,0.30922270007431507,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
198,322,365,3,3,0,t,0.19843440013937652,None,0,3,3,98,5.145980200031772,,5.137675900012255,5.145980200031772,6.129236000124365,6.129236000124365,6.146104200044647,6.329795000143349,t,0.19843440013937652,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
12,17,12,4,4,0,t,0.2673867999110371,None,0,4,4,2,6.346035100053996,,6.335466400021687,6.346035100053996,7.329200200038031,7.329200200038031,7.345911600161344,7.613098400179297,t,0.2673867999110371,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
31,37,46,5,5,0,l,0.22344149998389184,None,0,5,5,12,7.629142000107095,,7.6192650001030415,7.629142000107095,8.612372900126502,8.612372900126502,8.628795900149271,8.846359700197354,l,0.22344149998389184,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
179,227,326,6,6,0,t,0.23525930009782314,None,0,6,6,88,8.86195440008305,,8.852757100015879,8.86195440008305,9.845246900105849,9.845246900105849,9.861878800205886,10.096286300104111,t,0.23525930009782314,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
35,56,55,7,7,0,l,0.18895250000059605,None,0,7,7,14,10.112128800014034,,10.102140400093049,10.112128800014034,11.095265800133348,11.095265800133348,11.111985200084746,11.295424100011587,l,0.18895250000059605,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
24,37,31,8,8,0,l,0.2334484001621604,None,0,8,8,8,11.311480200150982,,11.29990700003691,11.311480200150982,12.295097100082785,12.295097100082785,12.311825200216845,12.545733400154859,l,0.2334484001621604,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
128,202,228,9,9,0,t,0.11174340010620654,None,0,9,9,62,12.56164600001648,,12.551827100105584,12.56164600001648,13.56157990009524,13.56157990009524,13.56157990009524,13.67863480001688,t,0.11174340010620654,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
169,270,309,10,10,0,t,0.27455540001392365,None,0,10,10,83,13.694856600137427,,13.684550300007686,13.694856600137427,14.677892200183123,14.677892200183123,14.694763600127771,14.962099800119177,t,0.27455540001392365,None,904091,001,2025-11-03_08h34.09.768,Tutorial 6,,2025.1.1,60.14527489689131,2025-11-03 08h34.17.161786 +0530,
