trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,fixation.stopped,circle1.started,circle2.started,circle3.started,circle4.started,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0011261000763624907,0.0030073000816628337,0.0030073000816628337,0.8145921999821439,space,0.7304457999998704,None,,,,,,,,,,,,,,,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
17,2,f,learn,1,0,0,0,g,0,2.599583000061102,None,0,0,0,16,0.8233738000271842,,,,,,,,,0.8211386000039056,0.8233738000271842,0.9259005000349134,1.8258070000447333,1.8258070000447333,1.8258070000447333,1.8258070000447333,1.8258070000447333,3.52601550007239,0,g,0,2.599583000061102,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
21,2,f,learn,1,1,1,0,g,0,2.4494674999732524,None,0,1,1,20,3.542102799983695,,,,,,,,,3.526591500034556,3.542102799983695,3.6254755000118166,4.542190600070171,4.542190600070171,4.542190600070171,4.542190600070171,4.542190600070171,6.075825300067663,0,g,0,2.4494674999732524,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
41,2,f,learn,2,2,2,0,g,0,1.7596621999982744,None,0,2,2,40,6.091677400050685,,,,,,,,,6.076876800041646,6.091677400050685,6.175047000055201,7.091733000008389,7.07516760006547,7.07516760006547,7.07516760006547,7.07516760006547,7.942034900072031,0,g,0,1.7596621999982744,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
32,3,j,learn,1,3,3,0,h,0,1.7982673000078648,None,0,3,3,31,7.957998900092207,,,,,,,,,7.942640000022948,7.957998900092207,8.04139320005197,8.958057000068948,8.941539200022817,8.941539200022817,8.941539200022817,8.941539200022817,9.84209789999295,0,h,0,1.7982673000078648,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
50,2,g,learn,2,4,4,0,g,1,2.118199900025502,None,0,4,4,49,9.858077200013213,,,,,,,,,9.843781400006264,9.858077200013213,9.941303500090726,10.857771900016814,10.857771900016814,10.857771900016814,10.857771900016814,10.857771900016814,12.074776699999347,1,g,1,2.118199900025502,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
4,3,j,learn,1,5,5,0,h,0,1.823409500066191,None,0,5,5,3,12.090736699989066,,,,,,,,,12.075359900016338,12.090736699989066,12.174149200087413,13.09106070001144,13.074461200041696,13.074461200041696,13.074461200041696,13.074461200041696,14.008109600050375,0,h,0,1.823409500066191,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
78,1,g,learn,2,6,6,0,j,0,1.6124383000424132,None,0,6,6,77,14.024165000068024,,,,,,,,,14.00892500008922,14.024165000068024,14.107422900036909,15.023841500049457,15.023841500049457,15.023841500049457,15.023841500049457,15.023841500049457,15.724341100081801,0,j,0,1.6124383000424132,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
7,4,h,learn,1,7,7,0,f,0,1.7933740000007674,None,0,7,7,6,15.741230600047857,,,,,,,,,15.725069200037979,15.741230600047857,15.824022500077263,16.740510100033134,16.723681700066663,16.723681700066663,16.723681700066663,16.723681700066663,17.623939600074664,0,f,0,1.7933740000007674,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
46,1,g,learn,2,8,8,0,f,0,2.7513134999899194,None,0,8,8,45,17.6399764000671,,,,,,,,,17.62511700007599,17.6399764000671,17.72330030007288,18.640042899991386,18.623382100020535,18.623382100020535,18.623382100020535,18.623382100020535,20.48998220008798,0,f,0,2.7513134999899194,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
66,3,g,learn,2,9,9,0,h,0,1.8096149999182671,None,0,9,9,65,20.506018500076607,,,,,,,,,20.49150860006921,20.506018500076607,20.589562400011346,21.506035500089638,21.48937860003207,21.48937860003207,21.48937860003207,21.48937860003207,22.40675550000742,0,h,0,1.8096149999182671,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
