trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,thanks.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0012655999744310975,0.003626400022767484,0.003626400022767484,47.28271840000525,space,47.25851190002868,None,,,,,,,,,,,,,,,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
35,1,h,learn,1,0,0,0,f,0,2.140112399996724,None,0,0,0,34,47.30692270002328,,,,,,,,,47.30281359999208,47.30692270002328,47.388426600024104,48.28832120000152,48.28832120000152,48.28832120000152,48.28832120000152,48.32132260000799,49.53882800001884,0,f,0,2.140112399996724,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
27,3,h,learn,1,1,1,0,h,1,1.8848219999927096,None,0,1,1,26,49.55478700000094,,,,,,,,,49.54076040000655,49.55478700000094,49.6381208000239,50.55467990000034,50.55467990000034,50.55467990000034,50.55467990000034,50.55467990000034,51.53829489997588,1,h,1,1.8848219999927096,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
10,1,g,learn,1,2,2,0,f,0,1.522299500007648,None,0,2,2,9,51.55440319998888,,,,,,,,,51.53996399999596,51.55440319998888,51.63777759997174,52.537678900000174,52.537678900000174,52.537678900000174,52.537678900000174,52.55432990001282,53.17171409999719,0,f,0,1.522299500007648,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
21,2,f,learn,1,3,3,0,g,0,19.574745399993844,None,0,3,3,20,53.18757080001524,,,,,,,,,53.17363299999852,53.18757080001524,53.27050149999559,54.18749839998782,54.18749839998782,54.18749839998782,54.18749839998782,54.18749839998782,72.85104410001077,0,g,0,19.574745399993844,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
73,4,f,learn,2,4,4,0,j,0,1.4720958999823779,None,0,4,4,72,72.86764110001968,,,,,,,,,72.85228679998545,72.86764110001968,72.95105620002141,73.85070860001724,73.85070860001724,73.85070860001724,73.85070860001724,73.86724110000068,74.43494100001408,0,j,0,1.4720958999823779,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
69,3,f,learn,2,5,5,0,h,0,1.446846800041385,None,0,5,5,68,74.45075050002197,,,,,,,,,74.4367207000032,74.45075050002197,74.55080309999175,75.45070370001486,75.45070370001486,75.45070370001486,75.45070370001486,75.45070370001486,76.0014455000055,0,h,0,1.446846800041385,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
12,4,j,learn,1,6,6,0,j,1,1.4589023999869823,None,0,6,6,11,76.01724640000612,,,,,,,,,76.00332969997544,76.01724640000612,76.10025379998842,77.01697830000194,77.01697830000194,77.01697830000194,77.01697830000194,77.01697830000194,77.56835800001863,1,j,1,1.4589023999869823,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
9,1,f,learn,1,7,7,0,f,1,1.3211879000300542,None,0,7,7,8,77.58357529999921,,,,,,,,,77.57047979999334,77.58357529999921,77.6836291999789,78.58351009996841,78.58351009996841,78.58351009996841,78.58351009996841,78.58351009996841,79.01761809998425,1,f,1,1.3211879000300542,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
48,1,j,learn,2,8,8,0,f,0,1.4221285000094213,None,0,8,8,47,79.0333668999956,,,,,,,,,79.0193909999798,79.0333668999956,79.11648159998003,80.03332829999272,80.03332829999272,80.03332829999272,80.03332829999272,80.03332829999272,80.55032909999136,0,f,0,1.4221285000094213,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
