trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,end_key.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0012734999763779342,0.0035995999933220446,0.0035995999933220446,5.9571585999801755,space,5.924754399980884,None,,,,,,,,,,,,,,,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
2,2,g,learn,1,0,0,0,g,1,2.388260399980936,None,0,0,0,1,5.969223799998872,,,,,,,,,5.96732349996455,5.969223799998872,6.058014399954118,6.958008499990683,6.958008499990683,6.958008499990683,6.958008499990683,6.974586499971338,8.458474699989893,1,g,1,2.388260399980936,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
14,4,g,learn,1,1,1,0,j,0,2.3428702000528574,None,0,1,1,13,8.474231999949552,,,,,,,,,8.460276299971156,8.474231999949552,8.557641699968372,9.474167599983048,9.474167599983048,9.474167599983048,9.474167599983048,9.474167599983048,10.908275900001172,0,j,0,2.3428702000528574,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
32,3,j,learn,1,2,2,0,h,0,2.332743000006303,None,0,2,2,31,10.9239121999708,,,,,,,,,10.910165999957826,10.9239121999708,11.023874299949966,11.92394399998011,11.92394399998011,11.92394399998011,11.92394399998011,11.92394399998011,13.357783599989489,0,h,0,2.332743000006303,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
18,1,g,learn,1,3,3,0,f,0,1.8794528000289574,None,0,3,3,17,13.373490299971309,,,,,,,,,13.359542999998666,13.373490299971309,13.456986599951051,14.373308399983216,14.373308399983216,14.373308399983216,14.373308399983216,14.373308399983216,15.34085659997072,0,f,0,1.8794528000289574,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
78,1,g,learn,2,4,4,0,f,0,1.461422499967739,None,0,4,4,77,15.356566499976907,,,,,,,,,15.34265669999877,15.356566499976907,15.45654059998924,16.356693899957463,16.356693899957463,16.356693899957463,16.356693899957463,16.356693899957463,16.923921299981885,0,f,0,1.461422499967739,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
45,1,f,learn,2,5,5,0,f,1,1.4308191000018269,None,0,5,5,44,16.939420399954543,,,,,,,,,16.925789200002328,16.939420399954543,17.039618199982215,17.939702399948146,17.939702399948146,17.939702399948146,17.939702399948146,17.939702399948146,18.47342850000132,1,f,1,1.4308191000018269,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
46,1,g,learn,2,6,6,0,f,0,1.3045251999865286,None,0,6,6,45,18.489307099953294,,,,,,,,,18.475976199959405,18.489307099953294,18.572584999958053,19.47247049998259,19.47247049998259,19.47247049998259,19.47247049998259,19.489563999988604,19.890077799966093,0,f,0,1.3045251999865286,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
56,3,j,learn,2,7,7,0,h,0,3.085984000004828,None,0,7,7,55,19.905784099944867,,,,,,,,,19.89204929996049,19.905784099944867,20.005910499952734,20.905585299944505,20.905585299944505,20.905585299944505,20.905585299944505,20.905585299944505,23.105892699968535,0,h,0,3.085984000004828,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
47,1,h,learn,2,8,8,0,f,0,1.6665287999785505,None,0,8,8,46,23.121802299981937,,,,,,,,,23.10770659998525,23.121802299981937,23.205348599993158,24.10511049994966,24.10511049994966,24.10511049994966,24.10511049994966,24.121881799947005,24.889265199948568,0,f,0,1.6665287999785505,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
57,3,f,learn,2,9,9,0,h,0,3.9031225999933667,None,0,9,9,56,24.905094999994617,,,,,,,,,24.89157419995172,24.905094999994617,24.988442999951076,25.904888199991547,25.904888199991547,25.904888199991547,25.904888199991547,25.904888199991547,28.904434099968057,0,h,0,3.9031225999933667,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
49,4,f,learn,2,10,10,0,j,0,1.569086600036826,None,0,10,10,48,28.92068029998336,,,,,,,,,28.905239999992773,28.92068029998336,29.00405269995099,29.90402669995092,29.90402669995092,29.90402669995092,29.90402669995092,29.92047079995973,30.58762789994944,0,j,0,1.569086600036826,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
12,4,j,learn,1,11,11,0,j,1,1.5340095999999903,None,0,11,11,11,30.60385179996956,,,,,,,,,30.588694499980193,30.60385179996956,30.686992699978873,31.587087599968072,31.587087599968072,31.587087599968072,31.587087599968072,31.603838699986227,32.237586099945474,1,j,1,1.5340095999999903,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
3,1,h,learn,1,12,12,0,f,0,1.504255199979525,None,0,12,12,2,32.2535936999484,,,,,,,,,32.23948389996076,32.2535936999484,32.35351589997299,33.2534319999977,33.2534319999977,33.2534319999977,33.2534319999977,33.2534319999977,33.870439999969676,0,f,0,1.504255199979525,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
43,2,h,learn,2,13,13,0,g,0,1.5221405000193045,None,0,13,13,42,33.886481199995615,,,,,,,,,33.87166589999106,33.886481199995615,33.969857099989895,34.86987329996191,34.86987329996191,34.86987329996191,34.86987329996191,34.88654659996973,35.50425040000118,0,g,0,1.5221405000193045,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
