trials,lightbox,correctkey,trialtype,block
1,4,f,learn,1
2,2,g,learn,1
3,1,h,learn,1
4,3,j,learn,1
5,3,f,learn,1
6,4,g,learn,1
7,4,h,learn,1
8,2,j,learn,1
9,1,f,learn,1
10,1,g,learn,1
11,2,h,learn,1
12,4,j,learn,1
13,1,f,learn,1
14,4,g,learn,1
15,4,h,learn,1
16,4,j,learn,1
17,2,f,learn,1
18,1,g,learn,1
19,1,h,learn,1
20,4,j,learn,1
21,2,f,learn,1
22,3,g,learn,1
23,2,h,learn,1
24,3,j,learn,1
25,1,f,learn,1
26,4,g,learn,1
27,3,h,learn,1
28,2,j,learn,1
29,2,f,learn,1
30,2,g,learn,1
31,4,h,learn,1
32,3,j,learn,1
33,3,f,learn,1
34,4,g,learn,1
35,1,h,learn,1
36,3,j,learn,1
37,4,f,learn,1
38,2,g,learn,1
39,3,h,learn,1
40,1,j,learn,1
41,2,f,learn,2
42,2,g,learn,2
43,2,h,learn,2
44,4,j,learn,2
45,1,f,learn,2
46,1,g,learn,2
47,1,h,learn,2
48,1,j,learn,2
49,4,f,learn,2
50,2,g,learn,2
51,1,h,learn,2
52,2,j,learn,2
53,2,f,learn,2
54,4,g,learn,2
55,2,h,learn,2
56,3,j,learn,2
57,3,f,learn,2
58,1,g,learn,2
59,4,h,learn,2
60,1,j,learn,2
61,3,f,learn,2
62,1,g,learn,2
63,4,h,learn,2
64,2,j,learn,2
65,2,f,learn,2
66,3,g,learn,2
67,3,h,learn,2
68,3,j,learn,2
69,3,f,learn,2
70,4,g,learn,2
71,1,h,learn,2
72,1,j,learn,2
73,4,f,learn,2
74,3,g,learn,2
75,1,h,learn,2
76,3,j,learn,2
77,1,f,learn,2
78,1,g,learn,2
79,1,h,learn,2
80,1,j,learn,2
